"name","final","coryat","right","wrong","uid"
"Christopher",0,6600,11,5,6201
"Steve-O",33201,21000,21,1,6201
"Steve-O",31500,11200,21,4,6202
"Jill",31601,19200,21,1,6202
"Saurabh",5000,4000,6,2,6202
"Jill",20001,17400,20,1,6203
"Chris",14401,14000,19,2,6203
"Niño",1599,5800,8,1,6203
"Jill",4799,8000,14,0,6204
"Sean",15199,16600,25,4,6204
"Joan",21300,11200,12,3,6204
"Joan",7500,6000,13,7,6205
"Meghan",27190,14000,24,4,6205
"J.B.",799,9200,16,6,6205
"Meghan",31100,12200,23,5,6206
"Will",32601,15600,20,3,6206
"Karen",16800,11800,13,1,6206
"Lena",699,7300,20,3,6207
"Richard",12200,6100,18,6,6207
"Georgia",9180,4600,16,5,6207
"Helen",10000,7100,15,4,6208
"Leon",14000,7000,20,1,6208
"Mack",10400,7200,22,5,6208
"Bob",18100,10500,27,1,6209
"Jack",3900,4500,13,2,6209
"Rosemary",3000,8800,16,0,6209
"Will",22401,21000,24,3,6210
"Susan",11800,12800,17,1,6210
"Morgan",21201,11200,15,1,6210
"Will",15599,21400,27,5,6211
"Jade",1,4600,10,3,6211
"John",1000,13400,15,0,6211
"Bruce",6001,5200,20,6,6212
"Millicent",5000,3600,12,4,6212
"Michael",6000,3000,11,3,6212
"Will",0,13200,19,2,6213
"Bryan",500,11800,17,1,6213
"Bif",28001,19600,19,0,6213
"Bif",32800,28200,31,1,6214
"Amanda",6399,3200,5,1,6214
"Alan",8000,9000,17,4,6214
"Bif",8599,10600,18,3,6215
"Josh?",3999,15000,19,3,6215
"Rebecca",7000,5800,10,1,6215
"Bif",27801,14000,18,1,6216
"Karen",14000,7000,11,0,6216
"Eric",48001,26400,27,1,6216
"Eric",28900,20800,28,2,6217
"Rob",12801,10400,16,2,6217
"Ellen",10401,9400,11,1,6217
"Eric",14300,26600,30,2,6218
"Susie",2600,8600,9,0,6218
"Seth",1,12200,17,1,6218
"Eric",14401,15600,20,5,6219
"Alex",2000,2600,8,1,6219
"Mitch",5400,16600,23,3,6219
"Eric",6199,18400,27,3,6220
"Amanda",13200,15800,15,0,6220
"Mark",6000,5800,11,4,6220
"Amanda",8399,13400,16,1,6221
"Rachel",8400,7200,13,3,6221
"Doug",1599,9600,18,4,6221
"Rachel",5600,12000,14,3,6222
"Matt",23999,12400,19,2,6222
"Dana",26401,13400,20,2,6222
"Team Buzzy",0,15200,22,1,6229
"Team Colby",7600,16200,15,1,6229
"Team Austin",5200,15600,19,2,6229
"Team Ken",32500,22800,22,1,6231
"Team Brad",36000,19600,26,0,6231
"Team Colby",8000,4000,6,1,6231
"Dana",6000,11000,14,3,6233
"Eric",1599,10000,14,4,6233
"Tim",5999,13600,21,3,6233
"Dana",31601,16200,19,1,6234
"Kristin",20500,12000,20,2,6234
"Hope",31600,14600,15,0,6234
"Dana",8799,17800,19,1,6235
"Josh",3199,13400,17,1,6235
"Conor",9600,9200,14,1,6235
"Conor",3200,8000,17,5,6236
"Elaine",15100,10200,15,1,6236
"Scott",1400,13400,18,3,6236
"Elaine",12800,13800,16,3,6237
"Evan",1400,10600,18,1,6237
"Barton",23200,10600,16,3,6237
"Barton",32800,13000,16,2,6238
"Adrian",10000,6000,11,2,6238
"Sam",1999,17000,22,1,6238
"Barton",35200,13800,16,0,6239
"Lindsey",35201,23800,26,1,6239
"Kevin",15200,7000,10,1,6239
"Lindsey",20000,21400,24,1,6240
"Brad",16001,8800,15,1,6240
"Bianca",5,8000,12,1,6240
"Jeff",19401,11000,26,0,6241
"Carol",1000,2000,10,2,6241
"Tom",16200,7500,17,2,6241
"Lindsey",24401,18000,25,2,6242
"Lauren",-200,-200,8,5,6242
"Brian",61,11600,19,3,6242
"Lindsey",21400,26000,27,0,6243
"Bren",6300,5400,11,3,6243
"Megan",6700,5200,10,2,6243
"Bruce",4201,5600,11,0,6244
"Peter",12000,5500,20,2,6244
"Darlynne",3799,5100,15,5,6244
"Lindsey",5,12400,18,3,6245
"Jonathan",22001,12800,18,3,6245
"Karen",0,8200,14,1,6245
"Jonathan",26801,15600,19,2,6246
"Kate",26400,14800,16,1,6246
"Stephanie",11000,13000,17,0,6246
"Jonathan",0,10800,19,4,6247
"Jeff",0,16800,18,4,6247
"Dave",4600,9200,15,2,6247
"Dave",18600,14000,18,1,6248
"Ryan",400,8000,12,5,6248
"Mara",7799,3400,12,7,6248
"Dave",0,10600,18,4,6249
"John",5100,10200,14,1,6249
"Emma",12600,14000,17,3,6249
"Emma",5400,10600,10,1,6250
"Amy",5200,5200,7,1,6250
"Steven",21600,21200,32,1,6250
"Steven",35601,24200,30,1,6251
"Sarah",9200,9200,11,0,6251
"Kenji",27001,14400,15,1,6251
"Steven",6999,17800,21,1,6252
"Natasha",5000,14600,18,3,6252
"Andrew",2300,13800,18,1,6252
"Steven",24100,16800,24,2,6253
"Roberta",5,3000,5,1,6253
"Reid",10799,25600,26,2,6253
"Steven",27201,18600,24,3,6254
"Erich",0,9600,10,1,6254
"Anika",7999,13600,18,1,6254
"Steven",1,9200,14,2,6255
"Rose",25599,12400,15,2,6255
"Alex",26000,17600,25,2,6255
"Alex",20000,17000,25,2,6256
"Anna",3200,1600,1,1,6256
"James",43680,27800,31,1,6256
"James",38926,18800,22,1,6257
"Satish",12600,15000,18,1,6257
"Marshall",2445,4000,15,4,6257
"James",50845,28400,30,1,6258
"Maryanne",10000,6000,8,1,6258
"Matthew",12000,13400,17,1,6258
"James",110914,35400,42,1,6259
"Ariana",7100,6400,10,3,6259
"Sameer",12801,7000,8,1,6259
"James",54322,28600,31,2,6260
"Jeff",-600,-600,4,3,6260
"Laura",6800,12800,18,2,6260
"James",27190,18200,25,2,6261
"Stephanie",6300,9200,11,1,6261
"Lewis",23000,13000,14,0,6261
"James",89158,29400,32,0,6262
"Ali",14801,13200,16,0,6262
"Mike",7100,7400,12,2,6262
"James",45444,30800,37,2,6263
"Kevin",12400,12400,15,1,6263
"Megan",1000,4800,5,2,6263
"Peter",0,1900,12,6,6264
"Doug",0,5900,19,5,6264
"Liz",1799,6000,17,2,6264
"James",106181,36000,42,2,6265
"Adam",1,11200,14,0,6265
"Katie",0,0,3,1,6265
"James",131127,36600,40,0,6266
"Hannah",1000,4600,8,1,6266
"Lorelle",10700,5400,7,0,6266
"James",74133,33400,39,0,6267
"Samantha",3199,9800,11,1,6267
"Gregory",4200,8200,8,0,6267
"James",80006,25600,35,4,6268
"Nate",2200,2200,8,2,6268
"Gabby",4500,4800,7,1,6268
"James",90812,33600,37,0,6269
"Rob",2727,2000,6,2,6269
"Rebecca",4001,4600,11,2,6269
